Date,Open,High,Low,Close,Adj Close,Volume
2015-02-01,104.879997,105.879997,97.010002,98.370003,82.344582,6149500
2015-03-01,98.300003,99.239998,93.570000,96.879997,81.097298,3734900
2015-04-01,96.599998,98.980003,95.500000,96.650002,81.585541,2687200
2015-05-01,96.330002,98.120003,93.709999,96.620003,81.560211,1858800
2015-06-01,96.790001,97.269997,89.660004,92.260002,77.879807,2488000
2015-07-01,90.040001,95.669998,89.760002,94.839996,80.800774,2893900
2015-08-01,94.900002,98.940002,90.050003,91.430000,77.895546,5094600
2015-09-01,90.519997,93.430000,87.839996,93.019997,79.250183,3208700
2015-10-01,93.180000,98.000000,91.330002,94.830002,81.568878,3775600
2015-11-01,94.889999,95.949997,90.510002,92.809998,79.831352,2387300
2015-12-01,93.120003,95.370003,89.650002,93.930000,80.794724,3226300
2016-01-01,93.279999,98.360001,91.580002,98.339996,85.387375,3377600
2016-02-01,98.330002,102.580002,97.849998,100.089996,86.906868,7017900
2016-03-01,100.660004,107.629997,97.839996,107.529999,93.366936,6514200
2016-04-01,107.250000,108.139999,101.809998,105.430000,92.166733,6348700
2016-05-01,105.570000,108.250000,103.070000,107.150002,93.670357,5623300
2016-06-01,107.190002,114.500000,106.550003,114.500000,100.095703,5436500
2016-07-01,115.019997,115.809998,111.570000,113.480003,99.957771,9019500
2016-08-01,113.440002,113.680000,106.639999,107.320000,94.531792,3491800
2016-09-01,107.099998,111.559998,105.699997,106.959999,94.214699,3849900
2016-10-01,106.949997,108.379997,102.309998,107.919998,95.866135,3716400
2016-11-01,107.739998,107.800003,99.849998,103.019997,91.513412,5275900
2016-12-01,102.459999,107.940002,101.419998,107.010002,95.057777,4493400
2017-01-01,106.940002,108.269997,105.279999,108.260002,97.016357,5077900
2017-02-01,107.709999,113.830002,106.080002,113.620003,101.819672,3087700
2017-03-01,112.680000,115.160004,110.739998,112.629997,100.932472,2629800
2017-04-01,112.730003,114.610001,111.779999,113.379997,102.441681,4644700
2017-05-01,113.620003,118.269997,112.050003,117.919998,106.543671,1990800
2017-06-01,117.849998,119.900002,113.970001,114.260002,103.236763,2398500
2017-07-01,114.519997,117.489998,112.480003,117.290001,106.772583,2062600
2017-08-01,117.330002,121.580002,117.019997,120.690002,109.867714,1944400
2017-09-01,120.790001,122.769997,115.430000,116.779999,106.308311,3124300
2017-10-01,117.150002,121.629997,116.190002,121.349998,111.370537,3186100
2017-11-01,121.629997,125.540001,120.489998,123.620003,113.453873,4543400
2017-12-01,125.010002,125.500000,115.349998,116.589996,107.001984,3506800
