Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
11/5/15,BTCUSD,398.09,450,366.66,384.2,27216.75,10978245.17
11/4/15,BTCUSD,399.49,499.99,368.15,398.09,49326.81,21800320.75
11/3/15,BTCUSD,363.97,422.3,362.07,399.49,40259.65,15724145.32
11/2/15,BTCUSD,331.71,371.82,326.07,363.97,19347.78,6714822.77
11/1/15,BTCUSD,314.6,332,311.44,331.71,10295.56,3304599.08
10/31/15,BTCUSD,329.97,334.28,306.29,314.6,14918.76,4759517.11
10/30/15,BTCUSD,315.68,336.97,315.46,329.97,16267.3,5308998.95
10/29/15,BTCUSD,303.75,320.99,301.8,315.68,12145.79,3785443.04
10/28/15,BTCUSD,295.88,308.93,295.51,303.75,16005.21,4830462.34
10/27/15,BTCUSD,286.75,297.99,286.67,295.88,10888.35,3196913.71
10/26/15,BTCUSD,288.97,288.99,282.04,286.75,7565.99,2158042.54
10/25/15,BTCUSD,284,295.93,283.28,288.97,10737.02,3114865.97
10/24/15,BTCUSD,278.07,284,278.07,284,5268.7,1480783.01
10/23/15,BTCUSD,275.92,281.17,275.4,278.07,7054.48,1959383.04
10/22/15,BTCUSD,269.16,280,268.52,275.92,8714.9,2388561.2
10/21/15,BTCUSD,271.14,272.85,265,269.16,6098.22,1643140.21
10/20/15,BTCUSD,264.81,272.95,264.38,271.14,4652.97,1254498.62
10/19/15,BTCUSD,264.53,268.23,262.05,264.81,5238.97,1389589.25
10/18/15,BTCUSD,271.35,273.5,262.94,264.53,5809.15,1553771.6
10/17/15,BTCUSD,263,274.81,262.56,271.35,10913.12,2940700.24
10/16/15,BTCUSD,254.64,267.6,254.64,263,9104.56,2376369.17
10/15/15,BTCUSD,253.22,256.77,253.13,254.64,6623.1,1690435.99
10/14/15,BTCUSD,250.37,255,250.25,253.22,7542.42,1905000.14
10/13/15,BTCUSD,246.29,251.5,244.86,250.37,6471.08,1610643.64
10/12/15,BTCUSD,248.9,249.14,245.89,246.29,5328.43,1318989.63
10/11/15,BTCUSD,246.06,250,245.63,248.9,4222.7,1044679.03
10/10/15,BTCUSD,244.46,246.1,243.8,246.06,3721.95,912802.93
10/9/15,BTCUSD,243.38,244.88,241.1,244.46,4999.71,1219605.35
10/8/15,BTCUSD,243.64,245.38,242.2,243.38,5358.51,1309144.55
10/7/15,BTCUSD,246.83,247.96,240.2,243.64,9035.05,2220567.2
10/6/15,BTCUSD,240.7,248,240.31,246.83,9347.01,2285485.5
10/5/15,BTCUSD,239.76,240.77,237.5,240.7,7420.58,1776349.82
10/4/15,BTCUSD,239.93,240.28,239.07,239.76,3757.54,900881.86
10/3/15,BTCUSD,237.99,240.62,237.68,239.93,4360.67,1043632.98
